borough,lsoa_count,mean_diabetes,mean_hypertension,mean_indep_fresh,mean_fast_food,mean_supermarket,mean_convenience,fresh_food_quartile
Barking and Dagenham,115,41.3046754918911,63.77119654328996,0.14266782608695652,0.1551869565217391,0.15993739130434784,0.19383739130434782,Q1_lowest
Barnet,220,30.750907324299035,59.53797117323001,0.28615318181818183,0.1909031818181818,0.2483140909090909,0.16967681818181818,Q2
Bexley,148,41.39343189043241,87.72695597994328,0.018549324324324327,0.07347567567567567,0.1175358108108108,0.06266418918918919,Q1_lowest
Brent,181,40.279264999532,48.19195030137793,0.4126160220994475,0.27537955801104974,0.27418895027624307,0.33633259668508286,Q3
Bromley,199,34.189055241959664,91.00256111411973,0.0851753768844221,0.11170502512562813,0.16935175879396985,0.11321859296482412,Q1_lowest
Camden,130,6.347784815422247,12.67589060234122,0.5807815384615385,0.6976523076923077,0.6415292307692307,0.7964761538461538,Q3
City of London,6,1.668175206909255,2.380815517897448,0.22318333333333332,2.7669333333333337,1.88865,1.12335,Q2
Croydon,229,44.229284836046524,77.79942687749407,0.149846288209607,0.31613668122270744,0.15279170305676856,0.22654978165938863,Q1_lowest
Ealing,199,47.72837468342276,66.41068067599132,0.4982778894472362,0.39436783919597995,0.31810050251256283,0.3340005025125628,Q3
Enfield,183,48.9178419074306,75.86125605309401,0.26465573770491807,0.14184754098360655,0.16174207650273226,0.16764972677595627,Q2
Greenwich,164,43.9936091778102,72.65479395395634,0.3157298780487805,0.4727939024390244,0.437075,0.3436280487804878,Q2
Hackney,149,23.190878119049128,34.03631920723675,0.7989959731543624,0.5054651006711409,0.4356563758389262,0.616551677852349,Q4_highest
Hammersmith and Fulham,115,21.547902905576304,42.04156675525111,0.7145147826086957,0.6540939130434782,0.6196965217391305,0.6662226086956522,Q4_highest
Haringey,147,32.074909309698924,46.64050991631582,1.111795238095238,0.5902312925170068,0.3757578231292517,0.4898340136054422,Q4_highest
Harrow,144,64.20575642423854,93.87438763244795,0.29489305555555556,0.22290486111111113,0.12504444444444443,0.3228611111111111,Q2
Havering,153,45.55576872578127,94.05444815500928,0.03307124183006536,0.08090065359477125,0.12841437908496733,0.06797581699346406,Q1_lowest
Hillingdon,170,54.55478416626111,87.5168825742228,0.08445647058823529,0.1417535294117647,0.10488411764705884,0.13270941176470588,Q1_lowest
Hounslow,150,50.122309011704566,73.60659713395461,0.26989399999999997,0.25279,0.17123666666666668,0.2526093333333333,Q2
Islington,126,9.97240467101595,15.670552343388715,1.0044555555555554,0.9289626984126984,0.7146571428571429,0.9432865079365079,Q4_highest
Kensington and Chelsea,101,6.810552723078527,14.445549650271355,1.6273940594059406,0.8271613861386139,0.9499673267326734,0.5796970297029703,Q4_highest
Kingston upon Thames,99,37.81927626589303,77.58947724048012,0.1382060606060606,0.3031111111111111,0.2293080808080808,0.30956161616161615,Q1_lowest
Lambeth,181,21.391332654108222,35.79425218329478,0.530878453038674,0.6950110497237569,0.4274618784530387,0.8763972375690608,Q3
Lewisham,175,32.358786647408785,59.45815932608087,0.5532748571428571,0.5879554285714286,0.3447011428571428,0.5263034285714285,Q3
Merton,126,31.959824726556818,51.36942603169648,0.1487190476190476,0.22338174603174604,0.3469531746031746,0.3146515873015873,Q1_lowest
Newham,185,59.32334226967375,66.1555314768775,0.6872151351351351,0.5336102702702703,0.23380162162162163,0.5190724324324325,Q3
Redbridge,164,53.524380512966935,76.39791088128388,0.2849341463414634,0.2629810975609756,0.21697987804878047,0.19957621951219512,Q2
Richmond upon Thames,115,23.21736763610792,63.11788332702643,0.051670434782608694,0.017425217391304346,0.07945652173913043,0.04735391304347827,Q1_lowest
Southwark,173,22.518014702403033,37.21947608103896,0.6893075144508671,0.7952063583815028,0.6277710982658959,0.8549023121387284,Q4_highest
Sutton,123,40.42448920704448,83.02721168841045,0.18260650406504064,0.34264552845528456,0.23535609756097559,0.285,Q2
Tower Hamlets,169,16.495913290120146,20.01130199744075,0.8279556213017751,1.224591124260355,0.4456940828402367,0.9116970414201183,Q4_highest
Waltham Forest,146,48.69487467316557,77.22008579506915,0.4081445205479452,0.22856849315068495,0.10657534246575343,0.21955753424657534,Q3
Wandsworth,186,24.16854430501845,46.059670697193695,0.45653440860215055,0.4576295698924731,0.4844677419354839,0.5482129032258065,Q3
Westminster,123,7.303722982620142,12.966782636953283,1.3296983739837398,1.274009756097561,0.9135544715447155,1.1105788617886179,Q4_highest
