lsoa21cd,dw_chain_supermarket,dw_convenience_chain,dw_independent_fresh_food,dw_market,dw_fast_food,dw_other
E01000001,1.6675,0.3301,0.0,0.0,1.1151,0.0
E01000002,1.8478,1.1056,0.0173,0.1917,0.16,0.0
E01000003,2.4246,0.593,0.3867,0.364,1.0679,0.0
E01000005,2.9841,2.86,0.3191,0.0,4.6169,0.0
E01000006,0.0,0.0169,0.0,0.0,0.0,0.0
E01000007,0.6122,0.0,0.2423,0.0,0.6261,0.1424
E01000008,0.3984,0.7669,1.0535,0.0,0.0,0.0
E01000009,0.2008,0.0,0.0,0.0,0.5375,0.3202
E01000011,0.144,0.1974,0.0,0.0,0.5077,0.0321
E01000012,0.2647,0.6008,0.1375,0.0,0.5669,0.4107
E01000013,0.0,0.0,0.5367,0.0,0.0,0.0
E01000014,0.0,0.0,0.0,0.0,0.0,0.0
E01000015,0.0,0.0,0.0,0.0,0.0,0.0
E01000016,0.0,0.5705,0.0,0.0,0.0,0.0
E01000017,0.0545,0.0,0.0,0.0,0.0,0.0
E01000018,0.0,0.0,0.0,0.0,0.0,0.0
E01000019,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,0.0,0.0,0.0,0.0,0.0,0.0
E01000021,0.0,0.7673,0.0,0.0,0.0,0.0
E01000022,0.0,0.0515,0.0,0.0,0.0,0.0
E01000024,0.0,0.0,0.0,0.0,0.0,0.0
E01000025,0.0,0.0,0.0,0.0,0.0,0.0
E01000027,0.0,0.0,0.0,0.0,0.5728,0.0
E01000028,0.6122,0.254,0.2265,0.0,0.0,0.0
E01000029,0.3707,0.0,0.0,0.0,0.0,0.0
E01000030,0.6948,0.2861,0.3808,0.0,0.0,0.0
E01000031,0.0,0.0,0.0,0.0,0.0,0.0
E01000032,0.4819,0.4598,0.496,0.0,0.1574,0.0
E01000033,0.0,0.0,0.0,0.0,0.0,0.0
E01000034,0.0,0.0,0.0,0.0,0.0,0.0
E01000035,0.0,0.0,0.0,0.0,0.0,0.0
E01000036,0.0,0.0,0.0,0.0,0.0,0.0
E01000037,0.0,0.0,0.0,0.0,0.0,0.0
E01000038,0.0,0.0,0.0,0.0,0.0,0.1609
E01000039,0.0,0.0,0.0,0.0,0.0,0.0
E01000040,0.0,1.0148,0.3272,0.0,0.0,0.0
E01000041,0.3854,0.0,0.0,0.0,0.0,0.0
E01000042,0.2309,0.692,0.3108,0.0,0.2982,0.0
E01000043,0.3202,0.4016,0.0,0.0,0.0,0.0
E01000044,0.0,1.8359,1.1632,0.0,0.9609,0.0
E01000045,0.0063,1.6379,0.6838,0.0,1.6692,0.0
E01000046,0.002,0.0,0.0,0.0,0.0,0.0
E01000049,0.0,0.0,0.0,0.0,0.0,0.0
E01000050,0.0,0.4818,0.7704,0.0,0.941,0.0
E01000051,0.2395,0.8648,0.579,0.0,1.3187,0.0
E01000052,0.0784,0.0,0.0,0.0,0.0,0.0
E01000053,0.8286,0.8589,0.0,0.0,0.6228,0.0
E01000054,0.0,0.0,0.0,0.0,0.0,0.0
E01000055,0.0,0.0,0.0,0.0,0.0,0.0
E01000056,0.3437,0.0,0.0,0.0,0.0,0.0
E01000057,0.0,0.5779,0.0,0.0,0.0,0.0
E01000058,0.0,0.0,0.0,0.0,0.0,0.0
E01000059,0.3136,0.0,0.0,0.0,0.0,0.0
E01000060,0.0,0.0,0.0,0.0,0.0,0.0
E01000061,0.0,0.0,0.0,0.0,0.0,0.0
E01000062,0.0,0.7086,0.0,0.0,0.0,0.0
E01000063,0.4876,0.0,0.0,0.0,0.0,0.0
E01000064,0.0,0.3267,0.0,0.0,0.0,0.0
E01000065,0.5479,0.1423,0.0,0.0,0.0,0.0
E01000066,0.1745,0.0,0.0,0.0,0.0,0.0
E01000067,0.0,0.0,0.0,0.0,0.0,0.0
E01000068,0.0,0.0,0.0,0.0,0.0,0.0
E01000069,0.0,0.4773,0.0,0.0,0.0169,0.0
E01000070,0.0,0.0,0.0,0.0,1.157,0.0
E01000071,0.0,1.6644,0.0,0.0,0.7692,0.0
E01000072,0.8966,0.764,0.0,0.0,3.1123,0.7411
E01000073,0.2844,0.0,0.0,0.0,0.0,0.0
E01000074,0.0534,0.0,0.0,0.0,0.0,0.0
E01000075,0.0,0.0,0.0,0.0,0.0,0.0
E01000076,0.2862,0.0,0.0,0.0,0.0,0.0
E01000077,0.0,0.0,0.0,0.0,0.0,0.0
E01000078,0.24,0.0,0.0,0.0,0.0,0.0
E01000079,0.0,0.0,0.0,0.0,0.0,0.0
E01000080,0.0,0.0,0.0,0.0,0.0,0.0
E01000081,0.3274,0.0,0.0,0.0,0.0,0.0
E01000082,0.8584,0.7001,0.0,0.0,0.0,0.0
E01000083,0.0,0.0,0.0,0.0,0.0,0.0
E01000084,0.0,0.0,0.4973,0.0,0.0,0.0
E01000085,0.0,0.0,0.0,0.0,0.0,0.0
E01000086,0.2318,0.0,0.0,0.0,0.0,0.0
E01000087,0.3799,0.6134,0.0,0.0,0.0,0.0
E01000088,0.0,0.0,0.0,0.0,0.0,0.0
E01000089,0.0,0.0,0.0,0.0,0.0,0.0
E01000090,0.0,0.0,0.0,0.0,0.0,0.0
E01000091,0.4621,0.0,0.4438,0.0,0.4832,0.0
E01000093,0.9973,0.8931,0.0,0.0,0.8589,0.0
E01000094,0.412,0.0,0.0,0.0,0.0,0.0
E01000095,0.0,0.0,0.0,0.0,0.0,0.0
E01000096,0.0,0.1472,0.0,0.0,0.0,0.8222
E01000097,0.0,0.0076,0.0,0.0,0.0,0.0
E01000098,0.0,0.0,0.0,0.0,0.0,0.0
E01000099,0.0,0.0,0.2359,0.0,0.0,0.0
E01000100,0.4096,0.0,0.8157,0.0,0.0,0.0
E01000101,0.3046,0.0,0.0,0.0,0.0,0.1904
E01000102,0.3351,0.0,0.0,0.0,0.0,0.0
E01000103,0.0,0.0,0.0,0.0,0.0,0.0
E01000104,0.0,0.0,0.0,0.0,0.0,0.0
E01000105,0.0,0.0,0.0,0.0,0.0,0.0
E01000106,0.0,0.0,0.0,0.0,0.0,0.0
E01000107,0.0,0.0,0.0,0.0,0.0,0.0
E01000108,0.0,0.0,0.0,0.0,0.0,0.0
E01000110,0.0,0.6164,0.0,0.0,0.0,0.0
E01000111,0.0,0.0,0.0,0.0,0.0,0.0
E01000112,0.3061,0.0122,0.2601,0.0,0.0,0.0
E01000113,0.6072,1.5892,1.3319,0.0,0.915,0.0
E01000114,0.0,0.0,0.0,0.0,0.0,0.0415
E01000115,0.0,0.1355,0.0,0.0,0.0,0.0
E01000116,0.0,0.4679,0.0,0.0,0.0,0.0
E01000117,0.0,0.0,0.0,0.0,0.0,0.0
E01000118,0.0,0.0,0.0,0.0,0.0,0.0
