lsoa21cd,lsoa21nm,fast_food,independent_fresh_food,market,supermarket
E01000001,City of London 001A,3,0,0,1
E01000002,City of London 001B,2,0,0,1
E01000005,City of London 001E,8,1,0,1
E01000007,Barking and Dagenham 015A,2,0,0,1
E01000008,Barking and Dagenham 015B,0,1,0,2
E01000012,Barking and Dagenham 015D,3,0,0,2
E01000013,Barking and Dagenham 013A,0,0,0,1
E01000021,Barking and Dagenham 008A,0,0,0,1
E01000027,Barking and Dagenham 001A,1,0,0,0
E01000030,Barking and Dagenham 001D,0,0,0,3
E01000031,Barking and Dagenham 002A,4,0,0,1
E01000032,Barking and Dagenham 002B,11,4,0,6
E01000040,Barking and Dagenham 019A,0,0,0,2
E01000044,Barking and Dagenham 016D,2,1,0,3
E01000045,Barking and Dagenham 017C,3,0,0,4
E01000050,Barking and Dagenham 019C,1,0,0,1
E01000051,Barking and Dagenham 021D,1,0,0,1
E01000053,Barking and Dagenham 020A,1,0,0,2
E01000064,Barking and Dagenham 006E,0,0,0,2
E01000069,Barking and Dagenham 011C,1,0,0,0
E01000070,Barking and Dagenham 011D,2,0,0,0
E01000071,Barking and Dagenham 011E,0,0,0,2
E01000072,Barking and Dagenham 017E,3,0,0,4
E01000075,Barking and Dagenham 012D,0,0,0,1
E01000082,Barking and Dagenham 007E,0,0,0,2
E01000087,Barking and Dagenham 020B,0,0,0,1
E01000093,Barking and Dagenham 022B,1,0,0,2
E01000095,Barking and Dagenham 018E,1,0,0,1
E01000096,Barking and Dagenham 022D,2,0,0,3
E01000101,Barking and Dagenham 004C,0,0,0,1
E01000111,Barking and Dagenham 002D,0,0,0,1
E01000115,Barnet 009A,3,0,0,1
E01000116,Barnet 009B,0,0,0,1
E01000119,Barnet 009C,0,1,0,3
E01000123,Barnet 010D,1,0,0,0
E01000124,Barnet 010E,3,0,0,3
E01000129,Barnet 024D,0,0,0,1
E01000137,Barnet 041A,0,0,0,1
E01000140,Barnet 041C,0,0,0,1
E01000141,Barnet 039A,3,0,0,6
E01000142,Barnet 040B,1,1,0,2
E01000145,Barnet 037A,1,4,0,2
E01000146,Barnet 038D,2,2,0,6
E01000150,Barnet 036A,0,0,0,1
E01000154,Barnet 026E,0,0,0,1
E01000156,Barnet 022A,5,0,0,3
E01000160,Barnet 015C,0,0,0,1
E01000161,Barnet 015D,4,0,0,3
E01000162,Barnet 015E,3,0,0,1
E01000164,Barnet 022D,1,0,0,2
E01000171,Barnet 006B,3,0,0,2
E01000176,Barnet 027A,0,1,0,1
E01000177,Barnet 029A,2,0,0,2
E01000179,Barnet 029B,0,0,0,1
E01000180,Barnet 029C,0,0,0,1
E01000181,Barnet 029D,1,0,0,2
E01000182,Barnet 029E,0,0,0,1
E01000187,Barnet 014B,0,2,0,3
E01000192,Barnet 018A,2,1,0,2
E01000193,Barnet 018B,2,6,0,5
E01000195,Barnet 013A,2,0,0,1
E01000196,Barnet 028A,0,0,0,1
E01000200,Barnet 028B,0,0,0,1
E01000202,Barnet 028D,0,0,0,1
E01000204,Barnet 025C,0,1,0,7
E01000207,Barnet 033C,1,0,0,1
E01000208,Barnet 033D,0,0,0,1
E01000210,Barnet 033E,1,3,0,2
E01000214,Barnet 038E,0,2,0,0
E01000215,Barnet 037B,1,2,0,0
E01000218,Barnet 037C,2,7,0,2
E01000221,Barnet 039B,0,1,0,1
E01000231,Barnet 013D,3,0,0,0
E01000233,Barnet 013F,0,0,0,1
E01000234,Barnet 021D,0,0,0,1
E01000239,Barnet 031A,3,0,0,2
E01000243,Barnet 032C,0,0,0,1
E01000244,Barnet 032D,8,0,0,0
E01000245,Barnet 032E,0,0,0,1
E01000248,Barnet 001A,8,7,0,2
E01000250,Barnet 001C,5,0,0,5
E01000251,Barnet 002D,1,0,0,1
E01000254,Barnet 001D,0,1,0,0
E01000255,Barnet 017A,1,0,0,2
E01000257,Barnet 017B,2,2,0,3
